direccion|precio_uf|metros_cuadrados|dormitorios|banios|latitude|longitude|url
|2950|41|2|1|||https://www.portalinmobiliario.com/MLC-2338994470-depto-2d-1b-balcon-3941m2-lord-cochrane-302-_JM#position=1&search_layout=grid&type=item&tracking_id=1bf44437-986d-4cfe-8f9c-77f07a1dd275
Metro La Moneda, Terraza, Centro Histórico de Santiago, Santiago, RM (Metropolitana)|2050|30|1|1|-33.4427272|-70.6581103|https://www.portalinmobiliario.com/MLC-2333973956-metro-la-moneda-terraza-_JM#position=15&search_layout=grid&type=item&tracking_id=6a0541ab-6da3-49a5-9586-47dd564c67b2
General Bulnes 1 - 300, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)|3575|81|3|2|-33.4420718|-70.6701625|https://www.portalinmobiliario.com/MLC-1457493349-iluminado-y-remodelado-anos-60-_JM#position=2&search_layout=grid&type=item&tracking_id=555da293-94ea-4d7a-8a9e-13990a6993fc
Ejercito, Ejército - Toesca, Santiago, RM (Metropolitana)|2110|37|1|1|-33.4564026|-70.6588846|https://www.portalinmobiliario.com/MLC-2305324476-departamento-en-venta-de-un-dormitorio-en-santiago-_JM#position=19&search_layout=grid&type=item&tracking_id=319a118d-4a66-464a-abf2-7887ae2971a1
Club Hípico 1240, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)|4018|63|2|2|-33.4628757|-70.6643004|https://www.portalinmobiliario.com/MLC-1454465139-dpto-2d2b-club-hipico-movistar-arena-parque-ohiggins-_JM#position=8&search_layout=grid&type=item&tracking_id=c387fd51-ec6e-4a4e-9857-2b3350d793a3
San Isidro 292, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)|2300|56|2|2|-33.4475723|-70.6428619|https://www.portalinmobiliario.com/MLC-2281955072-oportunidadcon-estacionamiento-centrico-en-venta-_JM#position=36&search_layout=grid&type=item&tracking_id=fb6bdd86-4650-4840-a318-90f65a059938
Merced, Barrio Lastarria, Santiago, RM (Metropolitana)|3225|53|1|1|-33.4378166|-70.6410767|https://www.portalinmobiliario.com/MLC-2254530914-merced-11414-_JM#position=43&search_layout=grid&type=item&tracking_id=57d97b73-890b-45d1-95ef-2187c7939a83
Argomedo Con Vicuña Mackenna, Santa Isabel, Santiago, RM (Metropolitana)|3200|56|2|2|-33.4489553|-70.6328013|https://www.portalinmobiliario.com/MLC-1476185441-argomedo-con-vicuna-mackenna-2170-_JM#position=12&search_layout=grid&type=item&tracking_id=87d5049e-0fb5-461b-84d9-52af890f5436
Carmen/ Santa Isabel, Santa Isabel, Santiago, RM (Metropolitana)|2300|35|1|1|-33.449294|-70.6421503|https://www.portalinmobiliario.com/MLC-2303888676-departamento-en-venta-de-1-dorm-en-santiago-_JM#position=24&search_layout=grid&type=item&tracking_id=08583c8e-4fe9-4051-82a4-aa9ad5a506e4
Santa Elena, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)|3400|45|3|2|-33.4663656|-70.6278835|https://www.portalinmobiliario.com/MLC-2301753022-departamento-santa-elena-id-122326-_JM#position=47&search_layout=grid&type=item&tracking_id=c90c8392-2534-4859-ae8c-cdf6a80846da
